White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
"Hasterok, M","Lisowski, K",1-0,8.31,"Jan 03, 2021",A40 Queen's pawn,,,,,,
"Golda, S","Wisniewski, M",1-0,8.32,"Jan 03, 2021",B01 Scandinavian (centre counter) defence,,,,,,
"Popiol, M","Bablok, M",1-0,8.33,"Jan 03, 2021","B13 Caro-Kann, exchange variation",,,,,,
"Godzwon, I","Nasuta, G",1-0,8.4,"Jan 03, 2021","B66 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6",,,,,,
"Jarmula, L","Kopylov, D",1-0,8.5,"Jan 03, 2021","D90 Gruenfeld, Three knights variation",,,,,,
"Ustianovich, N","Fus, J",½-½,8.6,"Jan 03, 2021","E07 Catalan, closed, 6...Nbd7",,,,,,
"Sliwicka, A","Kopylov, M",1-0,8.7,"Jan 03, 2021","B62 Sicilian, Richter-Rauzer, 6...e6",,,,,,
"Sieciechowicz, M","Seemann, J",½-½,8.8,"Jan 03, 2021","E94 King's Indian, orthodox variation",,,,,,
"Klepek, W","Szpar, M",½-½,8.9,"Jan 03, 2021","B66 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6",,,,,,
"Donchenko, A","Gumularz, S",1-0,9.1,"Jan 04, 2021","A14 English, Neo-Catalan declined",,,,,,
"Kyc, J","Brodowski, P",0-1,9.1,"Jan 04, 2021","B34 Sicilian, accelerated fianchetto, exchange variation",,,,,,
"Kopylov, M","Klepek, W",½-½,9.11,"Jan 04, 2021","E04 Catalan, open, 5.Nf3",,,,,,
"Szustakowski, A","Butkiewicz, L",½-½,9.12,"Jan 04, 2021",A61 Benoni defence,,,,,,
"Malicka, M","Kozak, A",0-1,9.13,"Jan 04, 2021",B02 Alekhine's defence,,,,,,
"Goluch, P","Kiolbasa, O",1-0,9.14,"Jan 04, 2021",A09 Reti opening,,,,,,
"Kopylov, D","Chyzy, J",1-0,9.15,"Jan 04, 2021",C60 Ruy Lopez (Spanish opening),,,,,,
"Golubka, P","Redzisz, M",½-½,9.16,"Jan 04, 2021","A35 English, symmetrical variation",,,,,,
"Lewtak, D","Luberanski, J",0-1,9.17,"Jan 04, 2021",A45 Queen's pawn game,,,,,,
"Chylewski, P","Salna, A",½-½,9.18,"Jan 04, 2021",D04 Queen's pawn game,,,,,,
"Fiedorek, M","Paszewski, M",½-½,9.19,"Jan 04, 2021","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Godzwon, I","Bartel, M",½-½,9.2,"Jan 04, 2021",B12 Caro-Kann defence,,,,,,
"Kokoszczynski, J","Suder, J",1-0,9.2,"Jan 04, 2021","E06 Catalan, closed, 5.Nf3",,,,,,
"Skawinski, A","Suliborski, J",1-0,9.21,"Jan 04, 2021",B00 King's pawn opening,,,,,,
"Vardanyan, A","Braeuning, R",0-1,9.22,"Jan 04, 2021",E20 Nimzo-Indian defence,,,,,,
"Ochedzan, T","Kucharska, H",0-1,9.23,"Jan 04, 2021",C11 French defence,,,,,,
"Chmiel, M","Konyves, A",1-0,9.24,"Jan 04, 2021",A20 English opening,,,,,,
"Sanz Wawer, D","Pasti, A",½-½,9.25,"Jan 04, 2021","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Sernecki, F","Wikar, M",0-1,9.26,"Jan 04, 2021",A80 Dutch,,,,,,
"Kubicka, A","Hasterok, M",½-½,9.27,"Jan 04, 2021",B40 Sicilian defence,,,,,,
"Deuer, M","Jarzebowski, K",0-1,9.28,"Jan 04, 2021",A53 Old Indian defence,,,,,,
"Jankowiak, T","Popiol, M",0-1,9.29,"Jan 04, 2021","B38 Sicilian, accelerated fianchetto, Maroczy bind, 6.Be3",,,,,,
"Janik, I","Jarmula, L",1-0,9.3,"Jan 04, 2021","E04 Catalan, open, 5.Nf3",,,,,,
"Trybus, D","Golda, S",1-0,9.3,"Jan 04, 2021","B90 Sicilian, Najdorf",,,,,,
"Krzywda, A","Golecki, J",0-1,9.31,"Jan 04, 2021",E00 Queen's pawn game,,,,,,
"Wisniewski, M","Lisowski, K",½-½,9.32,"Jan 04, 2021",A47 Queen's Indian defence,,,,,,
"Fus, J","Sliwicka, A",1-0,9.4,"Jan 04, 2021","E94 King's Indian, orthodox variation",,,,,,
"Sadzikowski, D","Niedbala, B",1-0,9.5,"Jan 04, 2021",D30 Queen's gambit declined,,,,,,
"Ustianovich, N","Sieciechowicz, M",0-1,9.6,"Jan 04, 2021","D77 Neo-Gruenfeld, 6.O-O",,,,,,
"Seemann, J","Mis, M",0-1,9.7,"Jan 04, 2021","E04 Catalan, open, 5.Nf3",,,,,,
"Nasuta, G","Kucza, K",½-½,9.8,"Jan 04, 2021",C53 Giuoco Piano,,,,,,
"Szpar, M","Baum, J",½-½,9.9,"Jan 04, 2021",A45 Queen's pawn game,,,,,,
"Harikrishna, P","Vachier Lagrave, M",½-½,1.1,"Dec 26, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Dubov, D","Radjabov, T",½-½,1.2,"Dec 26, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Anton Guijarro, D","So, W",½-½,1.3,"Dec 26, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Carlsen, M","Aronian, L",½-½,1.4,"Dec 26, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Giri, A","Nepomniachtchi, I",½-½,1.5,"Dec 26, 2020","D90 Gruenfeld, Three knights variation",,,,,,
"Grischuk, A","Nakamura, H",0-1,1.6,"Dec 26, 2020",C53 Giuoco Piano,,,,,,
"Vachier Lagrave, M","Nakamura, H",½-½,2.1,"Dec 26, 2020",C50 King's pawn game,,,,,,
"Nepomniachtchi, I","Grischuk, A",0-1,2.2,"Dec 26, 2020",C53 Giuoco Piano,,,,,,
"Aronian, L","Giri, A",1-0,2.3,"Dec 26, 2020","B90 Sicilian, Najdorf",,,,,,
"So, W","Carlsen, M",½-½,2.4,"Dec 26, 2020","E92 King's Indian, classical variation",,,,,,
"Radjabov, T","Anton Guijarro, D",1-0,2.5,"Dec 26, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Harikrishna, P","Dubov, D",½-½,2.6,"Dec 26, 2020",B33 Sicilian defence,,,,,,
"Dubov, D","Vachier Lagrave, M",½-½,3.1,"Dec 26, 2020","A33 English, symmetrical variation",,,,,,
"Anton Guijarro, D","Harikrishna, P",½-½,3.2,"Dec 26, 2020","D45 Queen's Gambit Declined semi-Slav, 5.e3",,,,,,
"Carlsen, M","Radjabov, T",½-½,3.3,"Dec 26, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Giri, A","So, W",0-1,3.4,"Dec 26, 2020","A14 English, Neo-Catalan declined",,,,,,
"Grischuk, A","Aronian, L",½-½,3.5,"Dec 26, 2020",C53 Giuoco Piano,,,,,,
"Nakamura, H","Nepomniachtchi, I",½-½,3.6,"Dec 26, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Vachier Lagrave, M","Nepomniachtchi, I",0-1,4.1,"Dec 26, 2020","B90 Sicilian, Najdorf",,,,,,
"Aronian, L","Nakamura, H",½-½,4.2,"Dec 26, 2020",C70 Ruy Lopez,,,,,,
"So, W","Grischuk, A",½-½,4.3,"Dec 26, 2020",C42 Petrov's defence,,,,,,
"Radjabov, T","Giri, A",½-½,4.4,"Dec 26, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Harikrishna, P","Carlsen, M",½-½,4.5,"Dec 26, 2020",B33 Sicilian defence,,,,,,
"Dubov, D","Anton Guijarro, D",1-0,4.6,"Dec 26, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Anton Guijarro, D","Vachier Lagrave, M",½-½,5.1,"Dec 27, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Carlsen, M","Dubov, D",1-0,5.2,"Dec 27, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Giri, A","Harikrishna, P",1-0,5.3,"Dec 27, 2020","D47 Queen's Gambit Declined semi-Slav, 7.Bc4",,,,,,
"Grischuk, A","Radjabov, T",½-½,5.4,"Dec 27, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Nakamura, H","So, W",½-½,5.5,"Dec 27, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Nepomniachtchi, I","Aronian, L",½-½,5.6,"Dec 27, 2020",C45 Scotch game,,,,,,
"Vachier Lagrave, M","Aronian, L",½-½,6.1,"Dec 27, 2020","A18 English, Mikenas-Carls variation",,,,,,
"So, W","Nepomniachtchi, I",½-½,6.2,"Dec 27, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Radjabov, T","Nakamura, H",½-½,6.3,"Dec 27, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Harikrishna, P","Grischuk, A",½-½,6.4,"Dec 27, 2020","B53 Sicilian, Chekhover variation",,,,,,
"Dubov, D","Giri, A",1-0,6.5,"Dec 27, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Anton Guijarro, D","Carlsen, M",½-½,6.6,"Dec 27, 2020","E46 Nimzo-Indian, 4.e3 O-O",,,,,,
"Carlsen, M","Vachier Lagrave, M",½-½,7.1,"Dec 27, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Giri, A","Anton Guijarro, D",½-½,7.2,"Dec 27, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Grischuk, A","Dubov, D",½-½,7.3,"Dec 27, 2020",A05 Reti opening,,,,,,
"Nakamura, H","Harikrishna, P",½-½,7.4,"Dec 27, 2020","B11 Caro-Kann, two knights, 3...Bg4",,,,,,
"Nepomniachtchi, I","Radjabov, T",½-½,7.5,"Dec 27, 2020",B30 Sicilian defence,,,,,,
"Aronian, L","So, W",½-½,7.6,"Dec 27, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Vachier Lagrave, M","So, W",½-½,8.1,"Dec 27, 2020","C88 Ruy Lopez, closed",,,,,,
"Radjabov, T","Aronian, L",½-½,8.2,"Dec 27, 2020","D39 Queen's Gambit Declined, Ragozin, Vienna variation",,,,,,
"Harikrishna, P","Nepomniachtchi, I",½-½,8.3,"Dec 27, 2020","B53 Sicilian, Chekhover variation",,,,,,
"Dubov, D","Nakamura, H",½-½,8.4,"Dec 27, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Anton Guijarro, D","Grischuk, A",½-½,8.5,"Dec 27, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Carlsen, M","Giri, A",½-½,8.6,"Dec 27, 2020","D94 Gruenfeld, 5.e3",,,,,,
"Giri, A","Vachier Lagrave, M",1-0,9.1,"Dec 28, 2020","B89 Sicilian, Sozin, 7.Be3",,,,,,
"Grischuk, A","Carlsen, M",½-½,9.2,"Dec 28, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Nakamura, H","Anton Guijarro, D",1-0,9.3,"Dec 28, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Nepomniachtchi, I","Dubov, D",1-0,9.4,"Dec 28, 2020","E73 King's Indian, 5.Be2",,,,,,
"Aronian, L","Harikrishna, P",½-½,9.5,"Dec 28, 2020",D20 Queen's gambit accepted,,,,,,
"So, W","Radjabov, T",½-½,9.6,"Dec 28, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Vachier Lagrave, M","Radjabov, T",½-½,10.1,"Dec 28, 2020",B30 Sicilian defence,,,,,,
"Harikrishna, P","So, W",½-½,10.2,"Dec 28, 2020","D41 Queen's Gambit Declined, Semi-Tarrasch, 5.cd",,,,,,
"Dubov, D","Aronian, L",½-½,10.3,"Dec 28, 2020",E10 Queen's pawn game,,,,,,
"Anton Guijarro, D","Nepomniachtchi, I",½-½,10.4,"Dec 28, 2020","B53 Sicilian, Chekhover variation",,,,,,
"Carlsen, M","Nakamura, H",1-0,10.5,"Dec 28, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Giri, A","Grischuk, A",½-½,10.6,"Dec 28, 2020",C53 Giuoco Piano,,,,,,
"Grischuk, A","Vachier Lagrave, M",0-1,11.1,"Dec 28, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Nakamura, H","Giri, A",1-0,11.2,"Dec 28, 2020","A08 Reti, King's Indian attack",,,,,,
"Nepomniachtchi, I","Carlsen, M",½-½,11.3,"Dec 28, 2020",B33 Sicilian defence,,,,,,
"Aronian, L","Anton Guijarro, D",0-1,11.4,"Dec 28, 2020",B30 Sicilian defence,,,,,,
"So, W","Dubov, D",1-0,11.5,"Dec 28, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Radjabov, T","Harikrishna, P",½-½,11.6,"Dec 28, 2020","D44 Queen's Gambit Declined semi-Slav, 5.Bg5 dc",,,,,,
"Stremavicius, T","Gauri, S",½-½,1.1,"Dec 26, 2020",A02 Bird's opening,,,,,,
"Sheng, J","Mishra, A",½-½,1.2,"Dec 26, 2020",D52 Queen's Gambit Declined,,,,,,
"Daggupati, B","Stearman, J",0-1,1.3,"Dec 26, 2020","C48 Four knights, Spanish variation",,,,,,
"Plotkin, M","Yip, C",½-½,1.4,"Dec 26, 2020","A36 English, symmetrical variation",,,,,,
"Belous, V","Dragun, K",½-½,1.5,"Dec 26, 2020","C43 Petrov, modern (Steinitz) attack",,,,,,
"Stremavicius, T","Sheng, J",1-0,2.1,"Dec 27, 2020","A11 English, Caro-Kann defensive system",,,,,,
"Yip, C","Belous, V",0-1,2.2,"Dec 27, 2020","B35 Sicilian, accelerated fianchetto, modern variation with Bc4",,,,,,
"Stearman, J","Plotkin, M",½-½,2.3,"Dec 27, 2020",A13 English opening,,,,,,
"Mishra, A","Daggupati, B",0-1,2.4,"Dec 27, 2020",A20 English opening,,,,,,
"Gauri, S","Dragun, K",1-0,2.5,"Dec 27, 2020",A13 English opening,,,,,,
"Daggupati, B","Stremavicius, T",½-½,3.1,"Dec 27, 2020","C02 French, advance variation",,,,,,
"Sheng, J","Gauri, S",1-0,3.2,"Dec 27, 2020","A37 English, symmetrical variation",,,,,,
"Plotkin, M","Mishra, A",½-½,3.3,"Dec 27, 2020","C07 French, Tarrasch, open variation",,,,,,
"Belous, V","Stearman, J",1-0,3.4,"Dec 27, 2020",A13 English opening,,,,,,
"Dragun, K","Yip, C",½-½,3.5,"Dec 27, 2020",A45 Queen's pawn game,,,,,,
"Stremavicius, T","Plotkin, M",½-½,4.1,"Dec 28, 2020",A04 Reti opening,,,,,,
"Stearman, J","Dragun, K",0-1,4.2,"Dec 28, 2020","E47 Nimzo-Indian, 4.e3 O-O, 5.Bd3",,,,,,
"Mishra, A","Belous, V",1-0,4.3,"Dec 28, 2020",B33 Sicilian defence,,,,,,
"Gauri, S","Yip, C",1-0,4.4,"Dec 28, 2020",A05 Reti opening,,,,,,
"Sheng, J","Daggupati, B",½-½,4.5,"Dec 28, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Belous, V","Stremavicius, T",½-½,5.1,"Dec 28, 2020",A04 Reti opening,,,,,,
"Plotkin, M","Sheng, J",½-½,5.2,"Dec 28, 2020","A11 English, Caro-Kann defensive system",,,,,,
"Daggupati, B","Gauri, S",1-0,5.3,"Dec 28, 2020","C48 Four knights, Spanish variation",,,,,,
"Dragun, K","Mishra, A",½-½,5.4,"Dec 28, 2020",C00 French defence,,,,,,
"Yip, C","Stearman, J",½-½,5.5,"Dec 28, 2020",C45 Scotch game,,,,,,
"Stremavicius, T","Dragun, K",½-½,6.1,"Dec 29, 2020",A16 English opening,,,,,,
"Mishra, A","Yip, C",0-1,6.2,"Dec 29, 2020","B69 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 11.Bxf6",,,,,,
"Gauri, S","Stearman, J",½-½,6.3,"Dec 29, 2020","C48 Four knights, Spanish variation",,,,,,
"Sheng, J","Belous, V",½-½,6.4,"Dec 29, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Daggupati, B","Plotkin, M",0-1,6.5,"Dec 29, 2020",B06 Robatsch (modern) defence,,,,,,
"Yip, C","Stremavicius, T",½-½,7.1,"Dec 29, 2020",B33 Sicilian defence,,,,,,
"Belous, V","Daggupati, B",½-½,7.2,"Dec 29, 2020",A13 English opening,,,,,,
"Dragun, K","Sheng, J",0-1,7.3,"Dec 29, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Plotkin, M","Gauri, S",0-1,7.4,"Dec 29, 2020",C46 Three knights game,,,,,,
"Stearman, J","Mishra, A",1-0,7.5,"Dec 29, 2020",A09 Reti opening,,,,,,
"Stremavicius, T","Stearman, J",½-½,8.1,"Dec 30, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Gauri, S","Mishra, A",0-1,8.2,"Dec 30, 2020",A09 Reti opening,,,,,,
"Sheng, J","Yip, C",½-½,8.3,"Dec 30, 2020","E70 King's Indian, 4.e4",,,,,,
"Daggupati, B","Dragun, K",0-1,8.4,"Dec 30, 2020","B53 Sicilian, Chekhover variation",,,,,,
"Plotkin, M","Belous, V",½-½,8.5,"Dec 30, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Mishra, A","Stremavicius, T",½-½,9.1,"Dec 30, 2020",B33 Sicilian defence,,,,,,
"Dragun, K","Plotkin, M",1-0,9.2,"Dec 30, 2020",B06 Robatsch (modern) defence,,,,,,
"Yip, C","Daggupati, B",1-0,9.3,"Dec 30, 2020",B33 Sicilian defence,,,,,,
"Stearman, J","Sheng, J",½-½,9.4,"Dec 30, 2020","B43 Sicilian, Kan, 5.Nc3",,,,,,
"Belous, V","Gauri, S",1-0,9.5,"Dec 30, 2020","D12 Queen's Gambit Declined Slav, 4.e3 Bf5",,,,,,
"Andrianov, N","Vivekananthan, A",½-½,1.1,"Dec 26, 2020","A14 English, Neo-Catalan declined",,,,,,
"Liang, J","Chasin, N",0-1,1.2,"Dec 26, 2020",A45 Queen's pawn game,,,,,,
"Tsay, V","Vijay, K",½-½,1.3,"Dec 26, 2020",B06 Robatsch (modern) defence,,,,,,
"Li, E","Martin del Campo, R",0-1,1.4,"Dec 26, 2020","A54 Old Indian, Ukrainian variation",,,,,,
"Diulger, A","Velikanov, A",0-1,1.5,"Dec 26, 2020",A16 English opening,,,,,,
"Andrianov, N","Liang, J",½-½,2.1,"Dec 27, 2020","A14 English, Neo-Catalan declined",,,,,,
"Martin del Campo, R","Diulger, A",½-½,2.2,"Dec 27, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Vijay, K","Li, E",½-½,2.3,"Dec 27, 2020",B50 Sicilian,,,,,,
"Chasin, N","Tsay, V",½-½,2.4,"Dec 27, 2020",D52 Queen's Gambit Declined,,,,,,
"Vivekananthan, A","Velikanov, A",½-½,2.5,"Dec 27, 2020",B40 Sicilian defence,,,,,,
"Tsay, V","Andrianov, N",½-½,3.1,"Dec 27, 2020",A45 Queen's pawn game,,,,,,
"Liang, J","Vivekananthan, A",½-½,3.2,"Dec 27, 2020",A45 Queen's pawn game,,,,,,
"Li, E","Chasin, N",0-1,3.3,"Dec 27, 2020",E00 Queen's pawn game,,,,,,
"Diulger, A","Vijay, K",½-½,3.4,"Dec 27, 2020","D07 Queen's Gambit Declined, Chigorin defence",,,,,,
"Velikanov, A","Martin del Campo, R",½-½,3.5,"Dec 27, 2020","B23 Sicilian, closed",,,,,,
"Andrianov, N","Li, E",1-0,4.1,"Dec 28, 2020",A09 Reti opening,,,,,,
"Vijay, K","Velikanov, A",½-½,4.2,"Dec 28, 2020",B06 Robatsch (modern) defence,,,,,,
"Chasin, N","Diulger, A",0-1,4.3,"Dec 28, 2020",B00 King's pawn opening,,,,,,
"Vivekananthan, A","Martin del Campo, R",½-½,4.4,"Dec 28, 2020","B23 Sicilian, closed",,,,,,
"Liang, J","Tsay, V",½-½,4.5,"Dec 28, 2020","C17 French, Winawer, advance variation",,,,,,
"Diulger, A","Andrianov, N",½-½,5.1,"Dec 28, 2020",C42 Petrov's defence,,,,,,
"Li, E","Liang, J",1-0,5.2,"Dec 28, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Tsay, V","Vivekananthan, A",1-0,5.3,"Dec 28, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Velikanov, A","Chasin, N",0-1,5.4,"Dec 28, 2020",B40 Sicilian defence,,,,,,
"Martin del Campo, R","Vijay, K",½-½,5.5,"Dec 28, 2020","B28 Sicilian, O'Kelly variation",,,,,,
"Andrianov, N","Velikanov, A",½-½,6.1,"Dec 29, 2020",A05 Reti opening,,,,,,
"Chasin, N","Martin del Campo, R",0-1,6.2,"Dec 29, 2020","E91 King's Indian, 6.Be2",,,,,,
"Vivekananthan, A","Vijay, K",0-1,6.3,"Dec 29, 2020",C60 Ruy Lopez (Spanish opening),,,,,,
"Liang, J","Diulger, A",1-0,6.4,"Dec 29, 2020",B15 Caro-Kann defence,,,,,,
"Tsay, V","Li, E",½-½,6.5,"Dec 29, 2020",D02 Queen's pawn game,,,,,,
"Martin del Campo, R","Andrianov, N",½-½,7.1,"Dec 29, 2020",C42 Petrov's defence,,,,,,
"Diulger, A","Tsay, V",0-1,7.2,"Dec 29, 2020",A13 English opening,,,,,,
"Velikanov, A","Liang, J",1-0,7.3,"Dec 29, 2020",A04 Reti opening,,,,,,
"Li, E","Vivekananthan, A",0-1,7.4,"Dec 29, 2020","A42 Modern defence, Averbakh system",,,,,,
"Vijay, K","Chasin, N",½-½,7.5,"Dec 29, 2020",A45 Queen's pawn game,,,,,,
"Andrianov, N","Vijay, K",½-½,8.1,"Dec 30, 2020",A40 Queen's pawn,,,,,,
"Vivekananthan, A","Chasin, N",1-0,8.2,"Dec 30, 2020",E20 Nimzo-Indian defence,,,,,,
"Liang, J","Martin del Campo, R",1-0,8.3,"Dec 30, 2020","B45 Sicilian, Taimanov variation",,,,,,
"Tsay, V","Velikanov, A",½-½,8.4,"Dec 30, 2020",A46 Queen's pawn game,,,,,,
"Li, E","Diulger, A",½-½,8.5,"Dec 30, 2020","E82 King's Indian, Saemisch, double fianchetto variation",,,,,,
"Chasin, N","Andrianov, N",½-½,9.1,"Dec 30, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Velikanov, A","Li, E",1-0,9.2,"Dec 30, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Martin del Campo, R","Tsay, V",½-½,9.3,"Dec 30, 2020","C07 French, Tarrasch, open variation",,,,,,
"Vijay, K","Liang, J",0-1,9.4,"Dec 30, 2020",B10 Caro-Kann defence,,,,,,
"Diulger, A","Vivekananthan, A",1-0,9.5,"Dec 30, 2020","A42 Modern defence, Averbakh system",,,,,,
,,,,,,,,,"GM Bernadskiy, Vitaliy",2619.0,7.0
,,,,,,,,,"GM Moroni, Luca Jr",2562.0,6.5
,,,,,,,,,"GM Mendonca, Leon Luke",2530.0,6.5
,,,,,,,,,"GM Checa, Nicolas",2527.0,6.5
,,,,,,,,,"GM Warmerdam, Max",2506.0,6.5
,,,,,,,,,"GM Niemann, Hans Moke",2478.0,6.5
,,,,,,,,,"GM Dardha, Daniel",2485.0,6.0
,,,,,,,,,"GM Blohberger, Felix",2469.0,6.0
,,,,,,,,,"IM Beerdsen, Thomas",2479.0,5.0
,,,,,,,,,"GM Basso, Pier Luigi",2581.0,4.5
,,,,,,,,,"IM Dionisi, Thomas",2418.0,4.0
,,,,,,,,,"FM Formento, Paolo",2315.0,2.5
,,,,,,,,,"FM Loiacono, Antonio",2304.0,1.5
,,,,,,,,,"FM Lumachi, Gabriele",2297.0,1.5
,,,,,,,,,"FM Samoun, Florent",2293.0,1.5
,,,,,,,,,"FM Bettalli, Francesco",2232.0,1.5
,,,,,,,,,"IM Materia, Marco",2281.0,1.0
,,,,,,,,,"FM Loiacono, Leonardo",2255.0,1.0
,,,,,,,,,"FM Cappelletto, Joshuaede",2063.0,1.0
,,,,,,,,,"FM Yu, Jennifer",2328.0,0.5
,,,,,,,,,Show full players list,,
,,,,,,,,,"GM Martirosyan, Haik M",2622.0,7.0
,,,,,,,,,"GM Pantsulaia, Levan",2553.0,6.5
,,,,,,,,,"GM Kovalenko, Igor",2643.0,6.0
,,,,,,,,,"GM Petrosyan, Manuel",2628.0,6.0
,,,,,,,,,"GM Hong, Andrew",2449.0,6.0
,,,,,,,,,"GM Muradli, Mahammad",2449.0,6.0
,,,,,,,,,"GM Tabatabaei, M. Amin",2629.0,5.5
,,,,,,,,,"GM Vocaturo, Daniele",2617.0,5.5
,,,,,,,,,"GM Fridman, Daniel",2601.0,5.5
,,,,,,,,,"GM Tsydypov, Zhamsaran",2558.0,5.5
,,,,,,,,,"GM Vazquez, Guillermo",2527.0,5.5
,,,,,,,,,"GM Eljanov, Pavel",2672.0,5.0
,,,,,,,,,"GM Sjugirov, Sanan",2663.0,5.0
,,,,,,,,,"GM Ter Sahakyan, Samvel",2640.0,5.0
,,,,,,,,,"GM Ponkratov, Pavel",2623.0,5.0
,,,,,,,,,"GM Jobava, Baadur",2603.0,5.0
,,,,,,,,,"GM Kryakvin, Dmitry",2577.0,5.0
,,,,,,,,,"IM He, Anthony",2337.0,5.0
,,,,,,,,,"GM Xiong, Jeffery",2709.0,4.5
,,,,,,,,,"GM Fedoseev, Vladimir",2674.0,4.5
,,,,,,,,,Show full players list,,
"Sarkar, J","Kryakvin, D",0-1,4.15,"Dec 27, 2020","E75 King's Indian, Averbakh, main line",,,,,,
"Muradli, M","Kovalenko, I",0-1,4.16,"Dec 27, 2020","E15 Queen's Indian, 4.g3",,,,,,
"Rychagov, A","Mammadov, Z",½-½,4.17,"Dec 27, 2020","D45 Queen's Gambit Declined semi-Slav, 5.e3",,,,,,
"Chen, R","Iskandarov, M",0-1,4.18,"Dec 27, 2020","B58 Sicilian, classical",,,,,,
"Rasulov, V","Eswaran, A",½-½,4.19,"Dec 27, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Eljanov, P","Pantsulaia, L",½-½,4.2,"Dec 27, 2020","A77 Benoni, classical, 9...Re8, 10.Nd2",,,,,,
"Indjic, A","Xie, B",1-0,4.2,"Dec 27, 2020","B23 Sicilian, closed",,,,,,
"He, A","Peng, D",1-0,4.21,"Dec 27, 2020","E32 Nimzo-Indian, classical variation",,,,,,
"Coleman, T","Sivakumar, S",1-0,4.22,"Dec 27, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Su, K","Tanenbaum, Z",0-1,4.23,"Dec 27, 2020",C55 Two knights defence,,,,,,
"Vega, I","Narayanan, S",0-1,4.24,"Dec 27, 2020","C07 French, Tarrasch, open variation",,,,,,
"Pan, K","Vijayakumar, A",1-0,4.25,"Dec 27, 2020","B26 Sicilian, closed, 6.Be3",,,,,,
"Salik, S","Sivakumar, S",1-0,4.26,"Dec 27, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Wen, T","Wen, T",0-1,4.27,"Dec 27, 2020","E91 King's Indian, 6.Be2",,,,,,
"Huda, M","Xu, A",½-½,4.28,"Dec 27, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Kondakov, A","Levine, J",0-1,4.29,"Dec 27, 2020","C13 French, classical",,,,,,
"Hong, A","Oparin, G",0-1,4.3,"Dec 27, 2020",C11 French defence,,,,,,
"Maiti, M","Wang, A",1-0,4.3,"Dec 27, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Martirosyan, H","Maghsoodloo, P",1-0,4.4,"Dec 27, 2020","E04 Catalan, open, 5.Nf3",,,,,,
